Study	Involves genomics	Genomics inclusion summary	Call context	Gene	Alteration Type	Position	Has additional requirement	Gene(additional)	Alteration Type(additional)	Position(additional)	Exclusions (not consistently filled in)	Intervention	Overall status	Phase	Primary completion date	Study completion date
NCT05564403	yes		somatic	BRAF	insertion,deletion,fusion	any	no					mFOLFOX6 w/wo binimetinib	Recruiting	Phase 2	January 21, 2025(E)	January 21, 2025(E)
NCT05565794	yes	FGFR2 fusions/rearr.; not metastatic	somatic	FGFR2	insertion,deletion,fusion	any	no					pemigatinib	Recruiting	Phase 2	November 2025(E)	November 2026(E)
NCT05678270	yes	FGFR2 fusion / rearr	somatic	FGFR2	insertion,deletion,fusion	any	no					ICP-192	Recruiting	Phase 2	May 2026(E)	December 2026(E)
NCT05614739	yes	FGFR3 pathway alteration in tumor or blood [ctDNA];  a) FGFR3 or its ligands	somatic	FGFR3,FGF1,FGF2,FGF9	mutation,insertion,deletion,fusion	any	no					LOXO-435	Recruiting	Phase 1	June 2025(E)	June 2025(E)
NCT04956640	yes	in tumor or ctDNA	somatic	KRAS	mutation	G12C	no					LY3537982 mono or combo therapy	Recruiting	Phase 1/Phase 2	June 2026(E)	June 2026(E)
NCT04104230	yes	study includes genes asssociated with  hereditary cancers	germline	STK11,CDKN2A,PRSS1,BRCA1,BRCA2,PALB2,MLH1,MSH2,MSH6,PMS2,EPCAM,ATM	mutation,insertion,deletion,fusion	any	no					observational	Recruiting	No data	January 2025(E)	January 2025(E)
NCT03452774	yes	cancer-related indicated by IHC, PCR, FISH or NGS	somatic	:synergy_ai:	mutation,insertion,deletion,fusion	any	no					observational	Recruiting	No data	December 2026(E)	June 2027(E)
NCT05023655	yes 	ARID1A mutation	somatic	ARID1A	mutation,insertion,deletion,fusion	any	no					Tazemetostat	Recruiting	Phase 2	January 2026(E)	
NCT05176665	yes	EGFR/cMET gene alterations or protein over expression:  cMET amp (CN>=5); or cMET overexpr; or EGFR overexpr; or other EGFR or cMET alteration where point mutation activates EGFR or cMET or indels, CN amp	somatic	EGFR,MET	mutation,insertion,deletion	any	no				ERBB2,KRAS,NRAS,BRAF,NTRK1,NTRK2,NTRK3,ALK,RET,ROS1, FGFR1,FGFR2,FGFR3 alt. known to confer resistance to EGFR and/or MET inhibitors	EMB-01	Recruiting	Phase 1/Phase 2	December 31, 2025(E)	December 31, 2025(E)
NCT05222971	yes	Somatic or germline mutation of at least one the DNA damage repair gene including [list]	somatic	:dna_repair:	mutation,insertion,deletion,fusion	any	 no					Olaparib + durvalumab	Recruiting	Phase 2	December 30, 2024(E)	December 30, 2025(E)
NCT05222971	yes		germline	:dna_repair:	mutation,insertion,deletion,fusion	any	 no					Olaparib + durvalumab	Recruiting	Phase 2	December 30, 2024(E)	December 30, 2025(E)
NCT05244551	yes	for CHOL: FGFR2 fusions and/or [re]arrangments	somatic	FGFR2	insertion,deletion,fusion	any	 no					ABSK061	Recruiting	Phase 1	April 30, 2025(E)	April 30, 2025(E)
NCT05727176	yes	FGFR2 fusions or other rearr. In chol.	somatic	FGFR2	fusion	any	no					Futibatinib (TAS-120)	Recruiting	Phase 2	June 2025(E)	June 2026(E)
NCT05874414	yes	KRAS mut	somatic	KRAS	mutation,insertion,deletion	any	no					GNS561 + trametinib	Recruiting	Phase 1/Phase 2	May 2026(E)	October 2026(E)
NCT05876754	yes	 IDH1 R132C, R132L, R132G, R132H, or R132S	somatic	IDH1	mutation	R132C,R132L,R132G,R132H,R132S	no					ivosidenib	Recruiting	Phase 3	June 1, 2025(E)	June 1, 2025(E)
NCT05913661	yes	FGFR2 fus/rearr	somatic	FGFR2	insertion,deletion,fusion	any	no					pemigatinib + PD-1 inhib.	Recruiting	Phase 2	November 2024(E)	November 2024(E)
NCT05948475	yes	FGFR2 fus/rearr	somatic	FGFR2	insertion,deletion,fusion	any	no					tinengotinib	Recruiting	Phase 3	May 2026(E)	August 2026(E)
NCT06057571	yes	FGFR2 alt. and failed prior tx.	somatic	FGFR2	insertion,deletion,fusion	any	no					tinengotinib	Recruiting	Phase 2	June 15, 2025(E)	October 31, 2025(E)
NCT05768178	yes	non-melanoma BRAF V600	somatic	BRAF	mutation	V600:any:	no					vemurafenib + cobimetinib	Recruiting	Phase 2/Phase 3	October 2029(E)	October 2029(E)
NCT06160752	yes	Part A: FGFR/FGF pathway alts (mut, fusions, amps).  Part B: FGFR2 mut or rearr.	somatic	FGFR1,FGFR2,FGFR3,FGFR4	mutation,insertion,deletion,fusion	any	no					TYRA-200	Recruiting	Phase 1	September 2026(E)	September 2027(E)
NCT06178445	yes	HER2 pos.	somatic	ERBB2	mutation,insertion,deletion	any	no					gemcitabine/cisplatin) + trastuzumab + pembrolizumab	Recruiting	Phase 2	July 2026(E)	April 2028(E)
NCT06302621	yes	FGFR1-3 fusion, rearr., activating mut., or FGFR2 extracellular domain in-frame del	somatic	FGFR1,FGFR2,FGFR3	mutation,insertion,deletion,fusion	any	no					afatinib + pemigatinib	Recruiting	Phase 1	December 1, 2024(E)	December 1, 2025(E)
NCT06383533	yes	HER2 pos. or mut	somatic	ERBB2	mutation,insertion,deletion	any	no					disitamab vedotin + cadonilimab	Recruiting	Phase 2	May 1, 2025(E)	December 31, 2025(E)
NCT06439485	yes	FGFR2 fus or rearrangement	somatic	FGFR2	insertion,deletion,fusion	any	no					pemigatinib, bevacizumab, atezolizumab	Not yet recruiting	Phase 2	February 22, 2028(E)	February 22, 2030(E)
NCT06501625	yes	IDH1 mut R132C/L/G/H/S	somatic	IDH1	mutation	R132C,R132L,R132G,R132H,R132S	no					ivosidenib + durvalumab and gemcitabine/cisplatin	Not yet recruiting	Phase 1/Phase 2	September 15, 2026(E)	January 15, 2030(E)
NCT06519110	yes	HER2 mut	somatic	ERBB2	mutation,insertion,deletion	any	no					neratinib	Not yet recruiting	Phase 2	February 14, 2026(E)	April 15, 2026(E)
NCT06530823	yes	FGFR2 fusion or rearr.	somatic	FGFR2	fusion	any	no					pemigatinib and durvalumab	Not yet recruiting	Phase 2	August 1, 2026(E)	August 1, 2028(E)
NCT06607185	yes	KRAS G12C, G12D, G12V, G12A, G12S, or G13D	somatic	KRAS	mutation	G12C,G12D,G12V,G12A,G12S,G13D	no					LY4066434 mono or combo	Not yet recruiting	Phase 1	January 2030(E)	January 2030(E)
NCT06622057	yes	fibroblast growth factor receptors  aberrations, MSI biomarker/deficient DNA MMR, or   isocitrate dehydrogenase muts	somatic	FGFR1,FGFR2,FGFR3,FGFR4,IDH1,IDH2,:mm_repair:	mutation,insertion,deletion,fusion	any	no					D07001 + capecitabine	Not yet recruiting	Phase 3	December 31, 2027(E)	December 31, 2027(E)
